,0
0,Это
1,было
2,нечто.Просто
3,колапс
4,на
5,стальных
6,яйцах
7,отправил
8,китайцев
9,домой
10,
11,#TeamSpirit
12,Моим
13,любимым
14,воспоминанием
15,из
16,детства
17,является
18,"то,"
19,что
20,у
21,меня
22,не
23,болела
24,спина
25,и
26,не
27,ныли
28,колени.
29,Доброе
30,утро
31,☀️
32,Пора
33,на
34,завод
35,работяги.
36,Как
37,у
38,тебя
39,дела?
40,@para_be11um_:
41,попытка
42,лечь
43,до
44,12
45,успешно
46,провалена
47,3
48,место.23
49,Похоже
50,что
51,изза
52,ограничений
53,поездка
54,в
55,казань
56,откладывается
57,Это
58,я
59,пил
60,пиво.
61,Сейчас
62,уже
63,трезвый
64,порадовал
65,себя
66,парой
67,стопок
68,самогона.
69,😉👉🏻Давайте
70,поиграем!
71,
72,Напиши
73,фразу
74,"""Этой"
75,зимой
76,я
77,"буду…"","
78,а
79,дальше
80,пусть
81,продолжит
82,Т9
83,😂
84,Сегодня
85,ходил
86,в
87,театр
88,мертвых
89,кукол.Это
90,щедевр.
91,@pgolod:
92,несите
93,новое
94,"горло,"
95,этому
96,уже
97,пиздец
98,Пушка
99,от
100,Shadow
101,of
102,Intent.Все
103,ждал
104,когда
105,у
106,барабанщика
107,загорятся
108,"волосы,"
109,но
110,увы
111,2
112,место.24
113,Я
114,не
115,хочу
116,"работать,"
117,я
118,создан
119,для
120,прекрасного...
121,5
122,место.18
123,утренний
124,муд
125,несите
126,новое
127,"горло,"
128,этому
129,уже
130,пиздец
131,Не
132,вини
133,зеркало
134,Активность
135,вроде
136,вернулось.
137,Всех
138,обнял
139,☝️😍
140,все.@Kanako32Kanako
141,пока.
142,@pgolod:
143,У
144,меня
145,в
146,сейчас
147,в
148,библиотеке
149,587
150,любимых
151,треков.Готов
152,поделиться.Вы
153,в
154,реплай
155,отправляете
156,число
157,от
158,1
159,до
160,587.Я
161,вам
162,отправляю
163,т…
164,овсяный
165,блин
166,с
167,2
168,сосисками
169,и
170,ломтиком
171,плавленого
172,сыра
173,это
174,разрыв
175,желудка
176,Девушка
177,пока
178,что
179,не
180,"коронована,"
181,ждем
182,второго
183,теста.
184,Но
185,второй
186,день
187,переодически
188,39.5
189,Приобщаю
190,соседей
191,к
192,правильной
193,музыке
194,@pgolod:
195,😉👉🏻Давайте
196,поиграем!
197,
198,Напиши
199,фразу
200,"""Этой"
201,зимой
202,я
203,"буду…"","
204,а
205,дальше
206,пусть
207,продолжит
208,Т9
209,😂
210,Кошка
211,ночью:
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,.
232,.
233,полурест
234,это
235,завуалированный
236,полупокер?
237,Я
238,конечно
239,люблю
240,свою
241,"работу,"
242,но
243,наконец
244,то
245,выходные
246,"трек,"
247,со
248,своей
249,изюминкой
250,фонарь
251,в
252,ебло
253,:)
254,Вечер
255,пятницы.
256,Почему
257,я
258,еще
259,трезвый?
260,очень
261,разбитое
262,"состояние,"
263,голова
264,не
265,соображает
266,вот
267,и
268,у
269,меня
270,"38,1"
271,🌡️🌡️🌡️добрый
272,вечер
273,☺️
274,LGD
275,SOSATTEAM
276,SPIRIT
277,GG.Впервые
278,за
279,10
280,лет
281,снг
282,выйграли
283,на
284,the
285,International
286,Горло
287,болит
288,:с
289,А
290,че
291,вы
292,"лайкаете,"
293,я
294,ни
295,есть
296,ни
297,пить
298,не
299,могу
300,Доброе
301,утро
302,всем
303,кто
304,спит
305,в
306,кровати
307,@MaxZimenkoff:
308,РЕБЯТА
309,АХАХВХАХАХААХ
310,#TI10
311,#TeamSpirit
312,Каеф
313,наконец
314,то
315,подвезли
316,подкасты
317,в
318,spotify.Не
319,нужно
320,метаться
321,больше
322,между
323,несколькими
324,сервисами
325,7
326,место.13
327,8-9
328,место.12
329,прослушиваний
330,У
331,девушки
332,температура
333,"38,3Пездец.:C"
334,@para_be11um_
335,тебе
336,понравится
337,Добрый
338,вечер
339,@para_be11um_
340,ознакомься
341,@sophia111188:
342,@Meow_wow_meow
343,Люблю
344,Твиттер:
345,тут
346,все
347,жалкие
348,неудачники
349,лечу
350,в
351,ноябре
352,в
353,Казань.куда
354,там
